Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	700
Conversion Gain:	1024
Course Gain:	4
Fine Gain:	1.3
ULD:	99.9%
LLD:	2.9%
Calibration Coefficients:	5.73742	0.0973747	7.0843e-05
Channels used to calibrate:	186	591	767
Energies used to calibrate:	26.3	88.03	122.1
Real Time Elapsed:	260.87
Live Time Elapsed:	254.76
Start Time:	12/04/2021 15:24:09
Stop Time:	12/04/2021 15:28:29

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	309
35	595
36	634
37	587
38	597
39	528
40	519
41	499
42	508
43	449
44	453
45	450
46	425
47	384
48	334
49	319
50	296
51	259
52	276
53	231
54	220
55	185
56	188
57	150
58	170
59	146
60	142
61	128
62	135
63	116
64	115
65	107
66	109
67	101
68	105
69	105
70	106
71	87
72	93
73	82
74	89
75	98
76	87
77	89
78	105
79	86
80	98
81	86
82	87
83	93
84	91
85	83
86	96
87	89
88	83
89	81
90	93
91	110
92	83
93	81
94	83
95	79
96	77
97	83
98	93
99	88
100	95
101	72
102	90
103	92
104	95
105	87
106	96
107	98
108	102
109	71
110	73
111	103
112	98
113	106
114	94
115	84
116	84
117	109
118	103
119	94
120	96
121	90
122	91
123	84
124	92
125	108
126	93
127	92
128	91
129	121
130	116
131	109
132	117
133	104
134	95
135	114
136	124
137	119
138	127
139	135
140	140
141	117
142	146
143	174
144	158
145	183
146	183
147	232
148	254
149	230
150	242
151	286
152	301
153	359
154	390
155	414
156	449
157	488
158	491
159	572
160	635
161	708
162	758
163	772
164	889
165	1021
166	1111
167	1162
168	1312
169	1465
170	1535
171	1591
172	1796
173	1848
174	2114
175	2290
176	2361
177	2529
178	2785
179	2920
180	3080
181	3333
182	3518
183	3707
184	3994
185	4103
186	4415
187	4467
188	4779
189	4985
190	5266
191	5418
192	5687
193	5877
194	6209
195	5954
196	6396
197	6480
198	6748
199	6886
200	6945
201	6891
202	7104
203	7119
204	7293
205	7017
206	7302
207	7254
208	7435
209	7239
210	7246
211	7138
212	7301
213	7194
214	7036
215	6796
216	6798
217	6700
218	6603
219	6247
220	6248
221	5969
222	5902
223	5726
224	5620
225	5279
226	5266
227	5072
228	4836
229	4605
230	4535
231	4253
232	4128
233	3897
234	3752
235	3447
236	3380
237	3323
238	3342
239	3053
240	2793
241	2677
242	2742
243	2457
244	2318
245	2218
246	2069
247	1956
248	1851
249	1774
250	1668
251	1644
252	1500
253	1405
254	1336
255	1261
256	1178
257	1103
258	1079
259	975
260	989
261	906
262	863
263	812
264	711
265	692
266	665
267	648
268	588
269	596
270	542
271	482
272	496
273	432
274	419
275	387
276	372
277	346
278	332
279	304
280	326
281	298
282	294
283	249
284	266
285	263
286	232
287	225
288	246
289	220
290	200
291	205
292	201
293	207
294	201
295	213
296	183
297	186
298	187
299	197
300	207
301	221
302	217
303	166
304	181
305	195
306	186
307	187
308	204
309	188
310	209
311	227
312	239
313	226
314	215
315	207
316	221
317	226
318	227
319	227
320	238
321	240
322	254
323	233
324	250
325	232
326	288
327	237
328	256
329	259
330	286
331	273
332	278
333	274
334	258
335	273
336	281
337	278
338	318
339	253
340	289
341	312
342	323
343	275
344	318
345	286
346	331
347	297
348	311
349	285
350	306
351	279
352	313
353	296
354	315
355	305
356	300
357	284
358	332
359	298
360	281
361	306
362	302
363	286
364	320
365	300
366	342
367	303
368	289
369	285
370	331
371	301
372	312
373	300
374	314
375	304
376	276
377	303
378	309
379	296
380	341
381	278
382	324
383	280
384	322
385	320
386	357
387	300
388	353
389	341
390	311
391	327
392	371
393	328
394	343
395	307
396	329
397	322
398	361
399	350
400	347
401	377
402	359
403	398
404	380
405	371
406	420
407	443
408	376
409	391
410	431
411	357
412	393
413	366
414	412
415	427
416	406
417	421
418	425
419	376
420	415
421	393
422	416
423	403
424	429
425	432
426	463
427	439
428	436
429	447
430	424
