Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	700
Conversion Gain:	1024
Course Gain:	4
Fine Gain:	1.3
ULD:	99.9%
LLD:	2.9%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	734.4
Live Time Elapsed:	730.5
Start Time:	12/04/2021 14:17:32
Stop Time:	12/04/2021 14:29:44

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	4
35	23
36	19
37	17
38	23
39	16
40	8
41	16
42	22
43	17
44	16
45	18
46	21
47	18
48	13
49	15
50	21
51	17
52	20
53	17
54	19
55	18
56	27
57	17
58	18
59	21
60	18
61	26
62	18
63	23
64	29
65	17
66	30
67	27
68	32
69	34
70	26
71	37
72	34
73	28
74	37
75	63
76	46
77	41
78	64
79	48
80	69
81	63
82	86
83	83
84	65
85	87
86	123
87	101
88	121
89	110
90	126
91	120
92	150
93	122
94	152
95	156
96	159
97	151
98	147
99	157
100	168
101	146
102	162
103	159
104	164
105	164
106	147
107	133
108	140
109	161
110	155
111	130
112	117
113	114
114	113
115	140
116	114
117	111
118	91
119	109
120	80
121	84
122	93
123	82
124	62
125	68
126	44
127	57
128	57
129	61
130	46
131	49
132	43
133	45
134	52
135	41
136	29
137	28
138	37
139	25
140	33
141	32
142	23
143	32
144	24
145	29
146	22
147	24
148	22
149	28
150	30
151	27
152	29
153	29
154	32
155	34
156	27
157	21
158	23
159	28
160	29
161	23
162	32
163	31
164	38
165	34
166	32
167	31
168	23
169	33
170	31
171	25
172	22
173	21
174	30
175	25
176	23
177	29
178	36
179	39
180	36
181	39
182	35
183	36
184	31
185	33
186	34
187	36
188	42
189	35
190	38
191	46
192	40
193	42
194	40
195	39
196	41
197	30
198	30
199	39
200	45
201	34
202	44
203	35
204	41
205	43
206	45
207	29
208	39
209	51
210	39
211	34
212	57
213	33
214	27
215	37
216	44
217	55
218	54
219	49
220	35
221	47
222	52
223	31
224	37
225	42
226	37
227	40
228	41
229	28
230	35
231	38
232	40
233	54
234	41
235	47
236	37
237	43
238	47
239	31
240	40
241	35
242	42
243	47
244	43
245	38
246	34
247	52
248	39
249	39
250	49
251	50
252	40
253	33
254	49
255	32
256	48
257	37
258	31
259	34
260	42
261	35
262	45
263	38
264	41
265	37
266	39
267	31
268	46
269	46
270	44
271	36
272	41
273	40
274	33
275	32
276	41
277	27
278	38
279	36
280	47
281	44
282	45
283	33
284	42
285	33
286	34
287	44
288	35
289	35
290	43
291	39
292	42
293	43
294	33
295	40
296	43
297	35
298	41
299	46
300	35
301	35
302	37
303	33
304	43
305	36
306	51
307	35
308	27
309	35
310	37
311	35
312	47
313	37
314	41
315	32
316	34
317	47
318	41
319	41
320	37
321	48
322	40
323	35
324	40
325	36
326	33
327	28
328	41
329	39
330	37
331	42
332	34
333	48
334	39
335	44
336	34
337	45
338	43
339	35
340	39
341	36
342	38
343	37
344	31
345	39
346	39
347	34
348	37
349	45
350	36
351	39
352	37
353	36
354	39
355	30
356	44
357	41
358	34
359	45
360	36
361	33
362	40
363	39
364	43
365	46
366	47
367	39
368	51
369	44
370	51
371	31
372	49
373	32
374	41
375	28
376	46
377	34
378	41
379	54
380	47
381	51
382	34
383	42
384	33
385	58
386	46
387	43
388	58
389	45
390	43
391	43
392	51
393	44
394	55
395	38
396	44
397	33
398	38
399	55
400	56
401	48
402	38
403	41
404	62
405	45
406	47
407	49
408	50
409	55
410	66
411	51
412	40
413	52
414	54
415	41
416	60
417	54
418	57
419	54
420	53
421	48
422	51
423	61
424	55
425	62
426	50
427	67
428	41
429	45
430	61
431	54
432	50
433	55
434	63
435	70
436	63
437	61
438	69
439	56
440	65
441	76
442	86
443	60
444	88
445	56
446	85
447	86
448	91
449	94
450	82
451	89
452	71
453	112
454	104
455	91
456	100
457	104
458	84
459	103
460	102
461	87
462	100
463	105
