Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	700
Conversion Gain:	1024
Course Gain:	4
Fine Gain:	1.3
ULD:	99.9%
LLD:	2.9%
Calibration Coefficients:	5.73742	0.0973747	7.0843e-05
Channels used to calibrate:	186	591	767
Energies used to calibrate:	26.3	88.03	122.1
Real Time Elapsed:	502.98
Live Time Elapsed:	491.21
Start Time:	12/04/2021 15:30:25
Stop Time:	12/04/2021 15:38:47

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	6
34	279
35	560
36	601
37	597
38	576
39	630
40	675
41	603
42	649
43	631
44	628
45	691
46	700
47	689
48	651
49	649
50	671
51	644
52	658
53	595
54	616
55	605
56	639
57	551
58	609
59	590
60	540
61	555
62	524
63	514
64	525
65	459
66	449
67	466
68	461
69	417
70	455
71	445
72	430
73	449
74	449
75	423
76	403
77	407
78	407
79	435
80	409
81	401
82	443
83	433
84	414
85	418
86	445
87	398
88	422
89	409
90	440
91	389
92	447
93	429
94	455
95	442
96	445
97	423
98	418
99	434
100	446
101	429
102	424
103	432
104	453
105	455
106	467
107	422
108	446
109	439
110	487
111	489
112	458
113	501
114	458
115	452
116	496
117	422
118	459
119	446
120	487
121	463
122	492
123	471
124	458
125	456
126	453
127	483
128	482
129	492
130	480
131	485
132	500
133	465
134	499
135	496
136	519
137	528
138	531
139	498
140	488
141	526
142	498
143	516
144	555
145	484
146	495
147	518
148	538
149	547
150	561
151	620
152	586
153	529
154	578
155	587
156	643
157	675
158	700
159	686
160	726
161	675
162	716
163	749
164	750
165	841
166	897
167	834
168	930
169	974
170	1039
171	981
172	1072
173	1150
174	1215
175	1241
176	1307
177	1393
178	1484
179	1594
180	1636
181	1685
182	1775
183	2022
184	1918
185	2118
186	2171
187	2338
188	2433
189	2558
190	2733
191	2800
192	2993
193	3067
194	3197
195	3244
196	3378
197	3570
198	3712
199	3729
200	3808
201	3975
202	4150
203	4083
204	4210
205	4248
206	4455
207	4382
208	4415
209	4574
210	4613
211	4426
212	4580
213	4654
214	4625
215	4521
216	4629
217	4631
218	4641
219	4578
220	4446
221	4498
222	4362
223	4374
224	4247
225	4232
226	4245
227	3945
228	4067
229	3902
230	3840
231	3670
232	3608
233	3424
234	3330
235	3303
236	3136
237	3152
238	2965
239	2886
240	2816
241	2589
242	2564
243	2415
244	2504
245	2355
246	2361
247	2140
248	2121
249	1906
250	2046
251	1788
252	1798
253	1683
254	1686
255	1618
256	1620
257	1501
258	1459
259	1412
260	1357
261	1293
262	1288
263	1251
264	1190
265	1124
266	1131
267	1004
268	1043
269	976
270	976
271	958
272	890
273	883
274	826
275	802
276	821
277	841
278	770
279	753
280	813
281	673
282	695
283	655
284	668
285	694
286	651
287	641
288	607
289	572
290	601
291	610
292	582
293	587
294	610
295	577
296	588
297	518
298	527
299	541
300	543
301	560
302	592
303	489
304	545
305	509
306	537
307	500
308	564
309	517
310	550
311	535
312	545
313	525
314	553
315	483
316	559
317	546
318	510
319	486
320	493
321	524
322	458
323	477
324	508
325	490
326	489
327	500
328	484
329	449
330	433
331	452
332	468
333	502
334	482
335	436
336	460
337	503
338	489
339	479
340	520
341	520
342	471
343	476
344	482
345	462
346	505
347	504
348	457
349	507
350	511
351	488
352	457
353	488
354	505
355	492
356	516
357	525
358	471
359	433
360	500
361	494
362	482
363	487
364	444
365	464
366	459
367	465
368	487
369	498
370	472
371	465
372	450
373	459
374	462
375	484
376	478
377	479
378	494
379	469
380	490
381	457
382	485
383	458
384	480
385	430
386	494
387	458
388	484
389	501
390	453
391	475
392	471
393	491
394	485
395	519
396	484
397	486
398	494
399	451
400	512
401	507
402	481
403	485
404	527
405	504
406	480
407	488
408	503
409	527
410	507
411	507
412	515
413	478
414	528
415	488
416	530
417	523
418	494
419	507
420	555
421	548
422	544
423	527
424	543
425	523
426	535
427	546
428	509
429	549
