Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	700
Conversion Gain:	1024
Course Gain:	4
Fine Gain:	1.3
ULD:	99.9%
LLD:	2.9%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	298.65
Live Time Elapsed:	297.76
Start Time:	12/04/2021 14:10:24
Stop Time:	12/04/2021 14:09:46

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	30
35	59
36	50
37	19
38	17
39	13
40	20
41	21
42	20
43	18
44	13
45	14
46	16
47	12
48	12
49	14
50	13
51	16
52	8
53	8
54	9
55	7
56	11
57	6
58	7
59	13
60	16
61	15
62	14
63	11
64	8
65	14
66	18
67	14
68	17
69	6
70	11
71	16
72	15
73	9
74	14
75	10
76	8
77	9
78	13
79	14
80	16
81	14
82	12
83	16
84	12
85	15
86	14
87	17
88	13
89	15
90	26
91	19
92	8
93	16
94	25
95	35
96	23
97	24
98	28
99	35
100	41
101	45
102	50
103	56
104	58
105	59
106	64
107	79
108	78
109	89
110	124
111	143
112	159
113	172
114	214
115	224
116	268
117	280
118	349
119	373
120	398
121	484
122	546
123	609
124	658
125	685
126	886
127	904
128	970
129	1054
130	1237
131	1366
132	1384
133	1530
134	1745
135	1785
136	1983
137	2100
138	2285
139	2342
140	2488
141	2612
142	2777
143	2788
144	3050
145	3227
146	3352
147	3350
148	3435
149	3560
150	3760
151	3762
152	3840
153	4001
154	4060
155	4077
156	4130
157	4210
158	4067
159	4089
160	4102
161	4105
162	4184
163	3952
164	3883
165	3926
166	3757
167	3776
168	3597
169	3512
170	3414
171	3304
172	3228
173	3058
174	3096
175	2918
176	2741
177	2654
178	2655
179	2451
180	2309
181	2207
182	2077
183	1920
184	1915
185	1813
186	1717
187	1552
188	1488
189	1390
190	1313
191	1217
192	1161
193	1119
194	1028
195	898
196	845
197	759
198	715
199	672
200	608
201	601
202	525
203	515
204	452
205	381
206	347
207	335
208	298
209	309
210	269
211	239
212	202
213	173
214	195
215	168
216	155
217	118
218	107
219	99
220	101
221	84
222	72
223	83
224	70
225	48
226	44
227	43
228	36
229	34
230	34
231	32
232	33
233	22
234	15
235	27
236	19
237	9
238	9
239	16
240	24
241	12
242	11
243	10
244	13
245	13
246	12
247	12
248	7
249	14
250	11
251	3
252	6
253	6
254	10
255	12
256	8
257	5
258	4
259	7
260	13
261	11
262	12
263	10
264	4
265	7
266	14
267	7
268	6
269	12
270	9
271	3
272	8
273	7
274	8
275	5
276	6
277	10
278	7
279	12
280	7
281	7
282	8
283	6
284	10
285	3
286	6
287	8
288	4
289	10
290	12
291	8
292	5
293	13
294	8
295	7
296	8
297	10
298	10
299	11
300	6
301	10
302	14
303	8
304	11
305	10
306	13
307	9
308	10
309	11
310	7
311	13
312	11
313	12
314	7
315	11
316	10
317	14
318	10
319	5
320	8
321	16
322	9
323	9
324	13
325	11
326	11
327	10
328	5
329	13
330	12
331	7
332	6
333	10
334	17
335	12
336	16
337	10
338	16
339	14
340	11
341	13
342	12
343	11
344	11
345	12
346	16
347	14
348	11
349	13
350	12
351	23
352	15
353	13
354	19
355	9
356	13
357	12
358	16
359	9
360	10
361	13
362	20
363	14
364	15
365	20
366	16
367	15
368	18
369	22
370	19
371	20
372	17
373	19
374	18
375	19
376	21
377	10
378	18
379	15
380	22
381	15
382	14
383	13
384	22
385	23
386	17
387	21
388	12
389	15
390	19
391	21
392	20
393	19
394	11
395	18
396	20
397	16
398	20
399	26
400	21
401	16
402	18
403	28
404	28
405	19
406	17
407	21
408	14
409	23
410	21
411	15
412	18
413	18
414	19
415	16
416	26
417	18
418	16
419	26
420	21
421	14
422	17
423	21
424	13
425	22
426	19
427	22
428	18
429	16
430	13
431	14
432	19
433	25
434	17
435	18
436	11
437	17
438	17
439	21
440	17
441	20
442	17
443	16
444	18
445	21
446	18
