Freq.	V(n001)
5.00000000000000e+01	(-5.04531781267168e+01dB,1.79999704922397e+02°)
5.01152619038950e+01	(-5.04531781267173e+01dB,1.79999704242172e+02°)
5.02307895139198e+01	(-5.04531781267179e+01dB,1.79999703560380e+02°)
5.03465834425902e+01	(-5.04531781267184e+01dB,1.79999702877016e+02°)
5.04626443038342e+01	(-5.04531781267190e+01dB,1.79999702192077e+02°)
5.05789727129949e+01	(-5.04531781267195e+01dB,1.79999701505559e+02°)
5.06955692868340e+01	(-5.04531781267200e+01dB,1.79999700817458e+02°)
5.08124346435348e+01	(-5.04531781267206e+01dB,1.79999700127771e+02°)
5.09295694027058e+01	(-5.04531781267211e+01dB,1.79999699436494e+02°)
5.10469741853840e+01	(-5.04531781267217e+01dB,1.79999698743624e+02°)
5.11646496140377e+01	(-5.04531781267222e+01dB,1.79999698049156e+02°)
5.12825963125703e+01	(-5.04531781267228e+01dB,1.79999697353088e+02°)
5.14008149063236e+01	(-5.04531781267234e+01dB,1.79999696655414e+02°)
5.15193060220808e+01	(-5.04531781267239e+01dB,1.79999695956133e+02°)
5.16380702880698e+01	(-5.04531781267245e+01dB,1.79999695255239e+02°)
5.17571083339671e+01	(-5.04531781267250e+01dB,1.79999694552730e+02°)
5.18764207909006e+01	(-5.04531781267256e+01dB,1.79999693848602e+02°)
5.19960082914529e+01	(-5.04531781267262e+01dB,1.79999693142850e+02°)
5.21158714696651e+01	(-5.04531781267268e+01dB,1.79999692435471e+02°)
5.22360109610399e+01	(-5.04531781267273e+01dB,1.79999691726461e+02°)
5.23564274025449e+01	(-5.04531781267279e+01dB,1.79999691015818e+02°)
5.24771214326160e+01	(-5.04531781267285e+01dB,1.79999690303535e+02°)
5.25980936911611e+01	(-5.04531781267291e+01dB,1.79999689589611e+02°)
5.27193448195629e+01	(-5.04531781267297e+01dB,1.79999688874042e+02°)
5.28408754606828e+01	(-5.04531781267303e+01dB,1.79999688156822e+02°)
5.29626862588644e+01	(-5.04531781267309e+01dB,1.79999687437949e+02°)
5.30847778599362e+01	(-5.04531781267315e+01dB,1.79999686717419e+02°)
5.32071509112157e+01	(-5.04531781267321e+01dB,1.79999685995228e+02°)
5.33298060615128e+01	(-5.04531781267327e+01dB,1.79999685271373e+02°)
5.34527439611328e+01	(-5.04531781267333e+01dB,1.79999684545848e+02°)
5.35759652618802e+01	(-5.04531781267339e+01dB,1.79999683818651e+02°)
5.36994706170621e+01	(-5.04531781267345e+01dB,1.79999683089778e+02°)
5.38232606814916e+01	(-5.04531781267351e+01dB,1.79999682359225e+02°)
5.39473361114913e+01	(-5.04531781267357e+01dB,1.79999681626987e+02°)
5.40716975648968e+01	(-5.04531781267363e+01dB,1.79999680893061e+02°)
