Intensity vs Wavelength, Run #3
Wavelength ( nm )	Intensity ( Volts )
342.69	-0.013
342.69	-0.013
342.80	-0.013
342.80	-0.013
342.92	-0.014
342.92	-0.015
342.92	-0.015
343.04	-0.015
343.04	-0.014
343.04	-0.013
343.04	-0.013
343.04	-0.012
343.04	-0.010
343.04	-0.009
343.04	-0.008
343.04	-0.008
343.16	-0.009
343.28	-0.008
343.28	-0.008
343.40	-0.008
343.40	-0.009
343.51	-0.011
343.51	-0.012
343.63	-0.013
343.75	-0.015
343.87	-0.016
343.98	-0.017
344.22	-0.018
344.34	-0.018
344.57	-0.019
344.81	-0.018
345.04	-0.017
345.16	-0.015
345.51	-0.014
345.98	-0.013
346.44	-0.013
347.03	-0.013
347.72	-0.013
348.30	-0.012
348.88	-0.012
349.80	-0.012
350.83	-0.011
351.62	-0.011
352.64	-0.010
353.54	-0.009
354.66	-0.009
355.67	-0.010
356.99	-0.012
357.98	-0.013
359.18	-0.015
360.05	-0.016
361.02	-0.016
362.09	-0.016
362.94	-0.017
363.90	-0.016
364.63	-0.015
365.57	-0.014
366.30	-0.013
366.40	-0.013
366.40	-0.012
366.40	-0.011
366.50	-0.010
366.50	-0.009
366.50	-0.010
366.61	-0.010
366.71	-0.009
366.81	-0.010
366.92	-0.011
367.02	-0.012
367.23	-0.013
367.43	-0.013
367.64	-0.012
367.84	-0.011
368.05	-0.012
368.45	-0.013
368.76	-0.012
369.06	-0.012
369.47	-0.012
369.97	-0.013
370.48	-0.014
371.08	-0.014
371.67	-0.015
372.46	-0.014
373.35	-0.015
374.52	-0.016
375.87	-0.017
377.86	-0.017
380.55	-0.017
384.15	-0.017
386.08	-0.016
388.90	-0.015
391.22	-0.014
393.49	-0.012
395.86	-0.013
397.79	-0.014
399.38	-0.014
400.65	-0.014
401.76	-0.015
402.64	-0.016
403.14	-0.018
403.65	-0.019
404.08	-0.019
404.37	-0.018
404.65	-0.017
404.79	-0.016
405.01	-0.016
405.22	-0.016
405.50	-0.015
405.79	-0.013
406.21	-0.010
406.63	-0.009
407.05	-0.009
407.68	-0.008
408.23	-0.007
408.78	-0.005
409.40	-0.004
409.95	-0.004
410.49	-0.003
411.04	-0.003
411.51	-0.003
412.12	-0.004
412.73	-0.005
413.40	-0.005
414.13	-0.005
414.87	-0.006
415.80	-0.007
416.72	-0.007
417.65	-0.005
418.58	-0.004
419.57	-0.003
420.56	-0.002
421.42	-0.002
422.22	-9.919E-4
423.15	6.867E-4
424.01	4.196E-4
424.82	-0.001
425.62	-0.002
426.43	-0.002
427.25	-0.002
428.07	-0.002
428.89	-0.002
429.65	-0.002
430.62	-0.002
431.67	-6.867E-4
432.74	0.001
433.74	0.002
434.69	0.002
435.34	0.002
436.30	0.003
437.12	0.004
437.88	0.005
438.33	0.003
438.87	0.001
439.41	5.341E-4
440.03	0.002
440.65	0.003
441.05	0.003
441.52	0.002
441.92	0.001
442.24	0.002
442.65	0.003
443.05	0.003
443.46	0.004
443.78	0.005
444.20	0.006
444.78	0.007
445.44	0.008
446.20	0.007
447.06	0.008
447.92	0.008
449.06	0.007
450.05	0.006
450.95	0.005
451.68	0.005
452.42	0.007
453.17	0.008
454.02	0.009
454.69	0.010
455.46	0.010
456.44	0.010
457.43	0.010
458.44	0.009
459.56	0.009
460.50	0.008
461.55	0.008
462.72	0.007
463.70	0.008
464.69	0.009
465.47	0.011
466.48	0.012
467.39	0.012
468.32	0.012
469.13	0.013
469.96	0.014
470.92	0.014
471.89	0.014
472.74	0.014
473.49	0.015
474.36	0.015
475.25	0.015
476.01	0.016
476.53	0.018
477.05	0.017
477.57	0.016
478.09	0.017
478.75	0.017
479.55	0.016
480.23	0.015
481.04	0.015
481.86	0.015
482.69	0.016
483.53	0.016
484.66	0.016
485.38	0.016
485.95	0.017
486.83	0.018
