Intensity vs Wavelength, Run #5
Wavelength ( nm )	Intensity ( Volts )
342.69	-0.021
342.69	-0.018
342.69	-0.015
342.69	-0.012
342.69	-0.009
342.69	-0.008
342.69	-0.008
342.69	-0.008
342.69	-0.008
342.69	-0.008
342.80	-0.008
342.80	-0.008
342.92	-0.009
342.92	-0.009
343.04	-0.009
343.16	-0.009
343.40	-0.009
343.75	-0.008
344.10	-0.007
344.22	-0.007
344.57	-0.009
345.04	-0.010
345.51	-0.009
345.98	-0.009
346.44	-0.010
346.91	-0.009
347.37	-0.011
347.95	-0.011
348.53	-0.009
349.22	-0.009
349.80	-0.010
350.71	-0.009
351.96	-0.008
353.54	-0.009
355.33	-0.010
357.22	-0.009
358.75	-0.008
360.59	-0.008
362.41	-0.008
363.90	-0.009
364.94	-0.009
365.88	-0.009
366.61	-0.007
366.92	-0.007
366.92	-0.007
367.02	-0.007
367.02	-0.007
367.02	-0.007
367.02	-0.007
367.02	-0.007
367.02	-0.006
367.12	-0.007
367.12	-0.008
367.23	-0.008
367.23	-0.008
367.43	-0.008
367.64	-0.007
367.84	-0.006
368.15	-0.007
368.35	-0.007
368.76	-0.005
369.06	-0.004
369.47	-0.003
369.97	-0.003
370.68	-0.002
371.37	-0.002
372.17	-0.002
373.45	-0.002
374.90	-0.001
376.72	-0.004
379.07	-0.005
382.28	-0.005
385.12	-0.006
387.20	-0.007
389.40	-0.008
391.14	-0.008
392.61	-0.007
393.97	-0.006
394.76	-0.005
395.31	-0.006
395.71	-0.005
396.02	-0.005
396.33	-0.005
396.56	-0.005
396.79	-0.006
397.03	-0.007
397.26	-0.006
397.56	-0.005
397.95	-0.004
398.33	-0.004
398.71	-0.004
399.23	-0.003
399.83	-0.002
400.36	-0.001
400.88	-9.919E-4
401.47	-6.867E-4
402.27	5.341E-4
403.00	0.002
403.79	0.002
404.58	0.002
405.22	0.003
405.86	0.003
406.56	0.003
407.26	0.003
407.82	0.002
408.30	6.104E-4
408.85	9.156E-4
409.40	0.001
409.88	2.289E-4
410.36	0.001
410.97	0.003
411.65	0.004
412.32	0.007
412.93	0.010
413.73	0.011
414.60	0.011
415.33	0.012
416.13	0.012
416.86	0.012
417.72	0.011
418.58	0.010
419.30	0.010
420.03	0.011
420.69	0.011
421.42	0.012
422.08	0.013
422.68	0.014
423.28	0.016
423.95	0.018
424.68	0.017
425.35	0.016
426.10	0.017
426.98	0.016
428.00	0.014
428.96	0.014
429.86	0.013
430.83	0.011
431.96	0.012
433.10	0.013
434.03	0.014
434.98	0.015
435.93	0.016
436.90	0.018
437.80	0.019
438.56	0.021
439.25	0.021
440.18	0.020
441.05	0.019
441.92	0.020
442.73	0.020
443.62	0.020
444.53	0.020
445.53	0.019
446.46	0.020
447.40	0.020
448.36	0.020
449.42	0.019
450.59	0.019
451.96	0.020
453.36	0.023
454.88	0.026
456.44	0.028
458.24	0.031
459.87	0.034
461.65	0.037
463.48	0.038
465.13	0.038
466.82	0.036
468.43	0.034
469.72	0.034
471.04	0.034
472.25	0.033
473.61	0.032
474.74	0.033
475.76	0.035
476.79	0.037
478.09	0.039
479.55	0.040
480.77	0.042
481.73	0.043
482.97	0.045
484.38	0.046
485.67	0.045
486.83	0.045
487.85	0.046
489.19	0.047
490.55	0.048
491.77	0.048
493.33	0.050
494.75	0.051
496.03	0.052
497.49	0.054
498.98	0.055
500.48	0.057
501.84	0.059
503.22	0.061
504.44	0.062
505.68	0.063
507.10	0.066
508.37	0.068
509.84	0.069
511.33	0.072
512.83	0.074
514.36	0.075
515.91	0.077
517.68	0.079
519.68	0.081
521.51	0.084
523.16	0.087
524.62	0.089
525.89	0.091
527.39	0.094
528.47	0.097
529.56	0.100
530.44	0.101
531.54	0.102
532.66	0.103
534.01	0.103
535.38	0.103
536.76	0.106
538.86	0.109
540.76	0.111
542.93	0.113
544.88	0.116
546.86	0.118
549.13	0.122
550.66	0.125
552.21	0.128
553.51	0.130
555.09	0.133
557.49	0.136
559.92	0.139
562.40	0.143
564.64	0.147
566.91	0.152
568.64	0.156
570.38	0.161
572.44	0.165
574.23	0.170
576.04	0.176
577.56	0.182
579.40	0.186
581.27	0.189
583.15	0.192
584.74	0.197
585.70	0.201
586.99	0.205
588.29	0.207
589.27	0.209
589.92	0.211
590.58	0.214
591.57	0.217
592.57	0.221
593.91	0.224
595.94	0.226
597.65	0.229
599.38	0.234
601.47	0.239
603.23	0.244
605.01	0.248
606.08	0.252
607.53	0.257
609.35	0.262
611.92	0.267
614.16	0.272
616.42	0.279
619.48	0.285
622.98	0.293
626.14	0.301
629.36	0.311
633.03	0.322
637.61	0.334
641.43	0.346
644.45	0.356
647.08	0.368
651.07	0.380
654.68	0.392
657.89	0.405
659.74	0.417
662.55	0.430
666.35	0.441
669.73	0.454
671.19	0.465
672.17	0.476
673.65	0.487
675.63	0.497
678.13	0.507
680.15	0.517
682.70	0.528
686.32	0.539
688.93	0.552
692.64	0.567
696.40	0.581
700.21	0.595
702.97	0.611
705.76	0.626
709.15	0.640
712.58	0.655
714.89	0.670
717.23	0.684
718.99	0.699
721.36	0.714
724.34	0.727
726.76	0.742
728.58	0.756
731.03	0.769
734.13	0.783
737.25	0.797
739.78	0.810
741.69	0.824
744.26	0.839
746.85	0.854
749.46	0.869
752.09	0.885
754.09	0.902
758.11	0.918
762.19	0.935
765.63	0.954
769.11	0.974
774.04	0.996
780.51	1.021
786.37	1.047
792.33	1.075
797.64	1.103
803.82	1.134
810.11	1.165
814.91	1.196
819.77	1.227
823.88	1.257
828.04	1.286
832.24	1.316
835.64	1.345
839.07	1.372
840.80	1.396
843.41	1.419
846.04	1.442
848.68	1.465
853.13	1.488
857.64	1.510
861.29	1.534
865.89	1.560
871.49	1.586
879.09	1.615
884.89	1.645
888.80	1.677
894.74	1.709
900.77	1.741
905.86	1.773
908.95	1.804
913.10	1.835
917.30	1.865
921.53	1.891
923.67	1.917
926.89	1.941
930.14	1.966
934.50	1.990
937.81	2.014
943.37	2.038
947.87	2.062
953.57	2.086
957.02	2.109
959.33	2.132
962.83	2.157
966.35	2.180
971.09	2.203
975.88	2.225
979.50	2.248
983.16	2.270
985.61	2.293
989.31	2.315
993.04	2.334
998.06	2.353
1000.59	2.372
1004.41	2.390
1008.26	2.408
1012.14	2.426
1016.05	2.444
1018.67	2.460
1021.31	2.476
1025.29	2.491
1027.97	2.506
1029.31	2.522
1033.36	2.536
1038.81	2.550
1044.31	2.565
1048.48	2.580
1051.28	2.595
1056.92	2.611
1061.19	2.625
1065.49	2.640
1069.83	2.655
1074.21	2.669
1078.62	2.681
1083.07	2.693
1086.05	2.706
1090.56	2.719
1095.10	2.732
1099.68	2.743
1104.30	2.753
1110.52	2.763
1116.81	2.775
1123.16	2.786
1127.98	2.798
1132.83	2.808
1139.36	2.817
1144.31	2.826
1149.29	2.836
1154.32	2.844
1161.09	2.851
1164.51	2.858
1169.66	2.864
1174.86	2.868
1178.35	2.870
1181.86	2.874
1183.62	2.876
1187.16	2.877
1190.72	2.878
1192.51	2.877
1197.89	2.875
1203.33	2.874
1206.98	2.875
1210.65	2.874
1216.19	2.872
1221.77	2.870
1227.41	2.867
1233.09	2.864
1240.74	2.860
1246.53	2.855
1252.37	2.848
1258.27	2.841
1268.19	2.834
1278.26	2.827
1286.41	2.819
1294.66	2.809
1305.10	2.799
1315.68	2.788
1324.25	2.777
1332.92	2.766
1339.49	2.754
1348.32	2.740
1357.26	2.727
1361.76	2.715
1366.29	2.704
1373.13	2.693
1380.03	2.682
1386.98	2.669
1393.99	2.658
1398.70	2.647
1408.19	2.636
1415.37	2.624
1425.04	2.612
1429.92	2.599
1437.28	2.586
1442.22	2.575
1449.67	2.563
1457.19	2.550
1464.77	2.536
1469.86	2.523
1474.97	2.510
1480.11	2.496
1487.87	2.481
1498.31	2.464
1506.21	2.446
1516.84	2.428
1527.58	2.407
1538.43	2.384
1546.64	2.361
1554.91	2.336
1568.83	2.307
1591.45	2.276
1608.71	2.245
1623.27	2.214
1638.00	2.182
1652.91	2.150
1664.94	2.117
1677.09	2.084
1689.33	2.052
1704.79	2.022
1717.26	1.991
1723.54	1.960
1736.16	1.930
1748.88	1.900
1761.69	1.870
1774.60	1.843
1787.59	1.817
1800.67	1.791
1810.53	1.766
1820.44	1.742
1827.08	1.717
1833.73	1.695
1847.08	1.673
1860.51	1.652
1870.63	1.630
1880.78	1.608
1890.97	1.587
1904.60	1.566
1918.28	1.545
1928.58	1.524
1935.45	1.505
1949.23	1.484
1966.51	1.461
1983.82	1.440
1994.23	1.417
2001.17	1.395
2011.58	1.374
2025.47	1.352
2035.88	1.331
2042.82	1.310
2056.69	1.290
2067.07	1.270
2077.44	1.249
2087.79	1.227
2101.54	1.206
2118.67	1.185
2132.29	1.161
2142.46	1.136
2155.94	1.112
2172.66	1.089
2192.50	1.065
2208.82	1.043
2218.50	1.021
2231.28	0.998
2243.90	0.978
2253.25	0.960
2262.49	0.941
2268.59	0.922
2274.64	0.907
2280.64	0.890
2289.54	0.875
2295.40	0.862
2301.21	0.849
2309.80	0.836
2318.26	0.824
2329.31	0.812
2340.09	0.800
2347.99	0.788
2358.27	0.776
2368.24	0.764
2377.89	0.751
2387.22	0.738
2393.99	0.726
2402.71	0.714
2409.01	0.702
2415.10	0.690
2422.90	0.680
2430.30	0.669
2435.60	0.658
2440.66	0.648
2448.59	0.637
2454.46	0.626
2458.59	0.615
2462.46	0.604
2464.91	0.592
2469.48	0.580
2473.60	0.568
2477.27	0.556
2480.49	0.545
2483.26	0.534
